task_name,university,school_year,course_name,course_code,credit,task_mode,task_type,task_weight_percent,due_date,due_time,time_required_hours,difficulty,current_date_(today),current_progress_percent,time_spent_hours,priority_level,days_until_due
Assignment 3,McMaster University,4,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-11-15,11:59 pm,18.0,5.0,2023-11-11,10.0,0.0,5,4
Quiz 7,McMaster University,4,"Ethics, Equity and Law in Engineering",ENGINEER 4A03,3,Individual,Quiz,4.29,2023-11-13,11:59 pm,0.25,2.0,2023-11-12,0.0,0.0,3,1
Project Part II: Case Study,McMaster University,4,"Ethics, Equity and Law in Engineering",ENGINEER 4A03,3,Group,Project,5.0,2023-11-17,11:59 pm,2.0,3.0,2023-11-12,0.0,0.0,3,5
Lab 2/PPA2,McMaster University,2,Principles of Programming,COMPENG 2SH4,4,Individual,Lab,10.0,2023-10-27,11:59 pm,12.0,4.0,2023-10-20,50.0,12.0,5,7
Assignment 4,McMaster University,4,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-11-30,11:59 pm,25.0,5.0,2023-11-12,0.0,0.0,1,18
DT 2: Design Project M3: User Requirements Elicitation & Definition,McMaster University,4,Human Computor Interfaces,SFWRENG 4HC3,3,Group,Project,10.0,2023-11-08,11:59 pm,4.0,4.0,2023-11-07,30.0,5.0,5,1
Design Project M3: Critical Reflection,McMaster University,4,Human Computor Interfaces,SFWRENG 4HC4,3,Individual,Project,3.0,2023-11-11,11:59 pm,1.0,3.0,2023-11-08,50.0,1.0,4,3
DT 2: Design Project M3: User Requirements Elicitation & Definition,McMaster University,4,Human Computor Interfaces,SFERENG 4HC3,3,Group,Project,10.0,2023-11-08,11:59 pm,5.0,4.0,2023-11-06,5.0,1.0,4,2
Design Project M3: Mid-Project Team Evaluations,McMaster University,4,Human Computor Interfaces,SFERENG 4HC3,3,Individual,Project,2.0,2023-11-06,11:59 pm,1.0,1.0,2023-11-06,80.0,1.0,5,0
"Team Formed, Project Selected",McMaster University,4,Software Design IV - Capstone Design Project,SFWRENG 4G06A,6,Group,Project,0.0,2023-09-18,11:59 pm,0.5,2.0,2023-09-17,50.0,1.0,5,1
Design Project M1 Critical Reflection,McMaster University,4,Human Computor Interfaces,SFERENG 4HC3,3,Individual,Project,5.0,2023-09-22,11:59 pm,3.0,3.0,2023-09-17,0.0,0.0,3,5
Assignment 1,McMaster University,4,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-10-05,11:59 pm,16.0,5.0,2023-09-17,0.0,0.0,1,18
[OPTIONAL] Check-in: Interaction Critical Evaluations,McMaster University,4,Human Computor Interfaces,SFERENG 4HC3,3,Individual,Assignment,0.0,2023-09-29,11:59 pm,6.0,4.0,2023-09-24,0.0,0.0,1,5
Assignment 1,McMaster University,4,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-10-05,11:59 pm,16.0,5.0,2023-09-24,0.0,0.0,2,11
"Problem Statement, POC Plan, Development Plan",McMaster University,4,Software Design IV - Capstone Design Project,SFWRENG 4G06A,6,Group,Project,2.0,2023-10-02,11:59 pm,6.0,4.0,2023-09-24,20.0,4.0,4,8
Test 1,McMaster University,4,"Introduction to Anthropology: Sex, Food and Death",ANTHROP 1AA3,3,Individual,Test Review,25.0,2023-10-06,8:30 am,2.0,3.0,2023-09-24,0.0,0.0,2,12
Midterm Test,McMaster University,4,Real-Time Systems and Control Applications,SFWRENG 4AA4,4,Individual,Test Review,25.0,2023-10-06,1:30 pm,12.0,4.0,2023-09-24,0.0,0.0,4,12
Assignment 1,McMaster University,4,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-10-05,11:59 pm,12.0,5.0,2023-10-01,20.0,3.0,5,4
"Problem Statement, POC Plan, Development Plan",McMaster University,4,Software Design IV - Capstone Design Project,SFWRENG 4G06A,6,Group,Project,2.0,2023-10-02,11:59 pm,2.0,4.0,2023-10-01,80.0,8.0,4,1
Test 1,McMaster University,4,"Introduction to Anthropology: Sex, Food and Death",ANTHROP 1AA3,3,Individual,Test Review,25.0,2023-10-06,8:30 am,0.0,3.0,2023-10-01,100.0,1.5,1,5
Midterm Test,McMaster University,4,Real-Time Systems and Control Applications,SFWRENG 4AA4,4,Individual,Test Review,25.0,2023-10-06,1:30 pm,10.0,4.0,2023-10-01,15.0,2.0,5,5
Assignment 2,McMaster University,4,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-10-25,11:59 pm,16.0,5.0,2023-10-01,0.0,0.0,1,24
Assignment 2,McMaster University,4,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-10-25,11:59 pm,16.0,5.0,2023-10-15,0.0,0.0,2,10
Assignment 1,McMaster University,4,"Introduction to Anthropology: Sex, Food and Death",ANTHROP 1AA3,3,Individual,Assignment,25.0,2023-10-16,11:59 pm,8.0,4.0,2023-10-15,0.0,0.0,5,1
Hazard Analysis 0,McMaster University,4,Software Design IV - Capstone Design Project,SFWRENG 4G06A,6,Group,Project,3.0,2023-10-20,11:59 pm,1.0,4.0,2023-10-15,0.0,0.0,2,5
Assignment 2,McMaster University,4,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-10-25,11:59 pm,12.0,5.0,2023-10-22,30.0,6.0,5,3
Interaction Critical Evaluations,McMaster University,4,Human Computor Interfaces,SFERENG 4HC3,3,Individual,Assignment,10.0,2023-10-27,11:59 pm,14.0,4.0,2023-10-22,30.0,4.0,4,5
V&V Plan Revision 0,McMaster University,4,Software Design IV - Capstone Design Project,SFWRENG 4G06A,6,Group,Project,5.0,2023-11-03,11:59 pm,15.0,4.0,2023-10-22,0.0,0.0,2,12
Assignment 3,McMaster University,4,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-11-15,11:59 pm,10.0,5.0,2023-11-14,20.0,4.0,5,1
Proof of Concept,McMaster University,4,Software Design IV - Capstone Design Project,SFWRENG 4G06A,6,Group,Project,5.0,2023-11-21,11:59 pm,14.0,4.0,2023-11-14,25.0,5.0,4,7
Assignment 3,McMaster University,4,"Ethics, Equity and Law in Engineering",ENGINEER 4A03,3,Individual,Assignment,10.0,2023-11-24,11:59 pm,10.0,5.0,2023-11-14,0.0,0.0,3,10
Design and Prototyping Exercise,McMaster University,4,Human Computor Interfaces,SFERENG 4HC3,3,Individual,Assignment,15.0,2023-11-24,11:59 pm,12.0,4.0,2023-11-15,0.0,0.0,3,9
Proof of Concept Demonstration,McMaster University,4,Computer Science Capstone Project,COMPSCI 4ZP6A,6,Group,Project,10.0,2023-11-17,11:59 pm,14.0,5.0,2023-11-12,0.0,0.0,5,5
Assignment 3,McMaster University,4,Introduction to Machine Learning,COMPSCI 4ML3,3,Individual,Assignment,7.5,2023-11-18,11:59 pm,1.0,4.0,2023-11-12,90.0,7.0,4,6
Schematic Design,Toronto Metropolitan University,4,Integration Studio I,ASC520,3,Individual,Project,50.0,2023-12-07,12:00 pm,50.0,5.0,2023-11-13,0.0,0.0,3,24
Assignment 2,McMaster University,4,Human Computor Interfaces,SFWRENG 4HC3,3,Individual,Assignment,15.0,2023-11-27,11:59 pm,10.0,5.0,2023-11-13,0.0,0.0,2,14
Discussion #2,McMaster University,4,Regional Geography of Canada,ENVSOCTY 2OC3,3,Individual,Assignment,19.5,2023-11-20,11:59 pm,12.0,1.0,2023-11-13,20.0,3.0,5,7
Assignment 3,McMaster University,3,Scientific Computation,CIMPSCI 4XO3,3,Individual,Assignment,8.0,2023-11-15,11:59 pm,20.0,4.0,2023-11-13,0.0,0.0,5,2
Lab 4,McMaster University,2,Logic Design,COMPENG 2DI4,4,Group,Lab,6.0,2023-11-14,11:59 pm,7.0,3.0,2023-11-13,5.0,1.0,4,1
Assignment 5,McMaster University,4,Introduction to Quantum Computing ,ENGPHYS 4QC3,3,Individual,Assignment,6.0,2023-11-19,11:59 pm,3.0,3.0,2023-11-13,20.0,1.0,3,6
Lab 4,McMaster University,3,Electronic Devices and Circuits II,ELECENG 3EJ4,4,Individual,Lab,6.0,2023-11-17,11:59 pm,8.0,5.0,2023-11-13,0.0,0.0,5,4
Individual essay 2.1,University of Toronto ,4,Getting Medieval: Myths and Monsters,MST201,1,Individual,Assignment,15.0,2023-11-17,11:59 pm,25.0,3.0,2023-11-13,70.0,30.0,2,4
Group Assignment,Toronto Metropolitan University,4,Project Economics,ASC522,1,Hybrid,Assignment,40.0,2023-11-27,12:00 pm,8.0,3.0,2023-11-13,80.0,15.0,3,14
Assignment 3,McMaster University,4,Scientific Computation,COMPSCI 4X03,3,Individual,Assignment,8.0,2023-11-15,11:59 pm,5.0,4.0,2023-11-13,40.0,4.0,4,2
Test 2,McMaster University,4,Human Aging: Biological and Lifestyle Influences,KINESIOL 4SS3,3,Individual,Midterm,15.0,2023-11-16,11:59 pm,48.0,3.0,2023-11-13,0.0,0.0,3,3
Assignment 3,McMaster University,3,Principles of Programming Languages,COMPSCI 3MI3,3,Individual,Assignment,8.0,2023-11-20,11:59 pm,20.0,4.0,2023-11-13,0.0,0.0,2,7
